salary,exprior,yearsworked,yearsrank,market,degree,otherqual,position,male,Field,yearsabs
53000,0,0,0,1.169999957,1,0,1,1,3,0
58000,1,0,0,1.24000001,1,0,1,1,2,0
45500,0,0,0,1.210000038,1,0,1,1,3,2
35782,0,2,1,0.99000001,1,0,1,1,4,1
34731,0,2,2,0.910000026,1,0,1,1,4,1
56000,1,0,0,1.190000057,1,0,1,1,1,0
61008,0,2,2,1.330000043,1,0,1,1,2,0
39986,0,2,0,0.99000001,1,0,1,1,4,0
36308,0,2,1,0.850000024,1,0,1,1,1,1
55000,0,0,0,1.230000019,1,0,1,1,1,1
55227,0,3,3,1.230000019,1,0,1,1,1,1
55227,0,3,3,1.230000019,1,0,1,1,2,1
33680,0,3,1,1.049999952,1,0,1,1,4,1
61008,0,3,3,1.24000001,1,0,1,1,4,1
37000,3,0,0,0.99000001,1,0,1,1,1,0
46292,0,2,2,1.139999986,1,0,1,1,2,0
33680,0,2,1,0.850000024,1,0,1,1,3,0
39754,0,1,0,0.879999995,1,0,1,1,3,2
34000,0,3,3,0.730000019,1,0,1,1,3,2
42614,0,2,2,0.879999995,1,0,1,1,2,0
55121,2,1,1,1.179999948,1,0,1,1,2,0
32000,3,0,0,0.910000026,1,0,1,1,3,0
34731,1,1,1,0.850000024,1,0,1,1,4,3
62059,0,3,3,1.169999957,1,0,1,1,1,0
61008,0,2,2,1.330000043,1,0,1,1,2,1
33680,0,3,3,0.879999995,1,0,1,1,4,1
35206,0,3,2,0.850000024,1,0,1,1,4,0
35257,0,2,2,0.850000024,1,0,1,1,4,1
35782,1,2,2,0.99000001,1,0,1,1,4,0
39000,4,0,0,1.220000029,1,0,1,1,4,0
41037,2,1,1,1.129999995,1,0,1,1,4,1
34468,0,3,3,0.850000024,1,0,1,1,2,0
31000,0,0,0,0.879999995,1,0,1,1,3,0
37905.30078,0,10,5,0.779999971,1,0,2,1,3,0
40512,0,3,3,1.039999962,1,0,1,1,3,0
37000,3,0,0,1,1,0,1,1,1,0
48000,3,0,0,1.139999986,1,0,1,1,1,0
46292,1,2,2,1.139999986,1,0,1,1,2,0
37410,0,4,3,0.879999995,1,0,1,1,4,1
39986,1,3,3,0.959999979,1,0,1,1,4,1
48395,0,3,3,1.210000038,1,0,1,1,4,0
30000,3,0,0,0.779999971,0,0,1,1,3,2
40066,0,4,4,0.879999995,1,0,1,1,3,2
38600,1,3,1,0.930000007,1,0,1,1,2,0
58930,0,6,0,1.169999957,1,0,2,1,2,1
38936,2,2,2,0.99000001,1,0,1,1,4,1
59110,0,4,4,1.330000043,1,0,1,1,1,0
60423,0,5,5,1.24000001,1,0,1,1,1,4
33680,4,1,1,0.790000021,1,0,1,1,3,4
38000,4,0,0,0.910000026,1,0,1,1,3,0
42088,1,3,3,1.139999986,1,0,1,1,4,2
40000,4,0,0,1,1,0,1,1,3,0
40512,4,1,1,1,1,0,1,1,3,0
34157,0,5,5,1,1,0,1,1,4,2
36308,3,2,2,0.800000012,1,0,1,1,1,0
59880,0,6,0,1.179999948,1,0,2,1,1,2
32000,1,5,5,0.74000001,1,0,1,1,3,0
33154,2,2,2,0.790000021,1,0,1,1,3,1
33680,1,3,3,0.850000024,1,0,1,1,3,1
35317,0,7,7,0.860000014,1,0,1,1,4,1
53376,0,6,0,1.210000038,1,0,2,1,1,1
29500,6,0,0,0.790000021,1,0,1,1,3,0
38333,0,7,2,0.800000012,1,0,2,1,3,2
36833,2,3,3,0.920000017,1,0,1,1,4,2
61439,0,7,2,1.169999957,1,0,2,1,4,3
63155,0,6,0,1.330000043,1,0,2,1,1,0
58118,0,5,5,1.330000043,1,0,1,1,1,0
35980,2,4,4,0.99000001,1,0,1,1,2,3
38265,2,4,1,0.829999983,1,0,2,1,3,3
37500,0,7,1,0.730000019,1,0,2,1,4,3
39986,1,4,4,1.169999957,1,0,1,1,4,0
41974,0,6,0,1,1,0,2,1,4,3
30927,1,6,6,0.790000021,1,0,1,1,3,3
37500,0,6,0,0.920000017,1,0,2,1,3,0
37884,4,2,2,1.090000033,1,0,1,1,3,0
41483,1,5,2,0.930000007,1,0,2,1,3,1
37363,2,4,4,0.930000007,1,0,1,1,4,0
42088,6,1,1,0.819999993,1,0,2,1,4,0
46975,0,7,2,1.039999962,1,0,2,1,2,1
29000,6,0,0,0.779999971,0,0,1,1,3,0
56278,3,5,5,1.230000019,0,0,1,1,2,0
30001,4,3,3,0.769999981,1,0,1,1,3,1
41037,5,2,1,1.309999943,1,0,1,1,4,1
38935,6,2,2,0.769999981,1,0,1,1,4,0
39024,2,7,0,0.99000001,1,0,2,1,3,0
44813,0,8,2,1,1,0,2,1,3,0
35257,3,4,4,0.850000024,1,0,1,1,4,0
34914,1,7,0,0.860000014,1,0,2,1,3,2
39771.16016,0,11,5,0.810000002,1,0,2,1,3,0
43641,0,8,3,0.99000001,1,0,2,1,3,1
41639,1,6,0,1.090000033,1,0,2,1,4,6
44678,0,8,3,0.829999983,1,0,2,1,3,1
55406,0,10,3,1.230000019,1,0,2,1,1,1
39156,0,8,2,0.879999995,1,0,2,1,3,0
40465,4,5,0,0.910000026,1,0,2,1,3,1
41563,7,2,2,0.920000017,1,0,1,1,3,3
34731,6,3,3,0.850000024,1,0,1,1,4,0
48378,3,6,0,0.910000026,1,0,2,1,4,0
38810.01172,0,10,5,0.730000019,1,0,2,1,2,1
41682,1,7,1,0.920000017,1,0,2,1,4,0
42482,0,9,4,0.99000001,1,0,2,1,4,0
55158,1,8,3,1.210000038,1,0,2,1,1,1
40512,8,1,1,0.839999974,1,0,1,1,2,1
40615,4,6,2,1.070000052,1,0,2,1,2,0
42563,0,9,3,0.839999974,1,0,2,1,1,0
64073,0,11,0,1.210000038,1,0,3,1,2,0
65212,7,3,3,1.179999948,1,0,2,1,2,0
39924,6,5,2,0.930000007,0,0,2,1,4,0
49439,0,16,8,0.779999971,0,0,3,1,4,0
50096,3,7,4,1.179999948,1,0,2,1,2,1
41121,0,9,5,0.730000019,1,0,2,1,3,0
54464,0,10,1,0.99000001,1,1,3,1,1,0
42717.59766,0,10,5,0.800000012,1,1,2,1,2,1
33680,7,3,3,0.74000001,1,0,1,1,3,1
40000,3,7,2,0.790000021,1,0,2,1,3,0
34000,1,9,3,0.779999971,1,0,2,1,3,0
48921,8,2,2,0.99000001,1,0,2,1,4,0
61988,0,11,3,1.210000038,1,0,2,1,1,0
41073,0,11,0,0.800000012,1,0,3,1,3,0
44463,5,6,3,1,1,0,2,1,3,0
40945,0,11,5,0.949999988,1,0,2,1,4,1
48078,0,11,5,1.039999962,1,0,2,1,3,0
49667,0,12,4,0.879999995,1,0,2,1,2,0
58949,0,12,6,1.230000019,1,0,2,1,2,1
33787,7,5,1,0.769999981,1,0,2,1,4,1
70546,0,14,8,1.24000001,1,0,2,1,1,0
36000,0,11,5,0.74000001,1,0,2,1,2,0
41425,5,6,3,0.910000026,1,0,2,1,3,0
48941,0,12,0,0.850000024,1,0,3,1,4,0
57779,0,13,7,1.190000057,1,0,2,1,4,0
47349,0,20,9,0.889999986,1,0,2,1,2,0
35682,4,7,1,0.800000012,1,0,2,1,4,1
37242,8,4,1,0.99000001,1,0,2,1,4,0
42977,5,7,1,0.99000001,1,0,2,1,2,0
52996,5,8,8,0.839999974,1,1,2,1,3,1
53543,9,4,4,1.169999957,1,0,2,1,1,1
42537,0,13,8,0.800000012,1,0,2,1,3,0
45831,0,20,7,0.790000021,1,0,2,1,4,0
55847,2,12,5,1.230000019,1,0,2,1,4,0
53103,3,10,10,1.230000019,1,0,2,1,1,0
40957,0,14,13,0.920000017,1,0,1,1,4,0
45032,0,13,0,0.850000024,1,0,3,1,1,0
48210,10,4,4,1.019999981,1,0,1,1,4,1
60725.86719,2,11,2,1,1,0,2,1,1,0
40986,0,14,6,0.769999981,1,0,2,1,4,0
41723,7,7,4,0.870000005,1,0,2,1,4,1
51729,5,9,3,1.169999957,1,1,3,1,4,1
47820,0,18,10,0.879999995,1,0,2,1,1,0
52054.24609,13,1,1,0.99000001,1,0,3,1,2,0
43188,1,13,1,0.850000024,1,0,3,1,3,0
55978.19531,7,8,8,0.75999999,1,0,2,1,4,0
55979,0,14,3,1.039999962,1,0,3,1,1,0
47573,0,15,11,0.870000005,1,0,2,1,2,0
42954,6,9,0,0.920000017,1,0,3,1,3,1
44204,9,6,6,1.090000033,1,0,1,1,3,0
54000,3,13,6,0.870000005,1,0,3,1,1,0
44539,0,15,8,0.769999981,1,0,2,1,3,1
46573.64844,0,16,3,0.910000026,1,0,3,1,3,1
47999.42188,0,15,1,0.860000014,1,0,3,1,3,0
54238,0,15,4,1.139999986,1,0,3,1,4,0
37000,7,7,4,0.779999971,1,0,2,1,1,0
49923,0,15,2,1.149999976,1,0,3,1,2,0
43277,2,13,9,0.889999986,1,0,2,1,3,0
48289,2,13,1,1.100000024,1,0,3,1,3,0
60190,11,5,5,0.959999979,1,1,3,1,1,1
38410,12,3,3,0.879999995,1,0,1,1,3,0
54211,2,14,5,0.99000001,1,0,3,1,4,0
46520,0,15,8,0.949999988,1,0,2,1,1,1
42388,6,11,8,0.810000002,1,0,2,1,4,1
49357,3,13,3,0.779999971,1,0,3,1,4,0
58498.45313,0,23,2,0.839999974,1,0,3,1,2,0
76098,0,18,10,1.24000001,1,0,3,1,2,0
52464,0,17,9,1.299999952,1,0,2,1,4,0
61453,0,15,0,1.210000038,1,0,2,1,1,0
50838,10,6,6,0.920000017,1,0,2,1,2,0
56252,0,17,14,0.730000019,1,0,2,1,2,1
71605,1,17,9,1.179999948,1,0,3,1,1,0
49826,5,12,9,0.930000007,1,0,2,1,2,0
59564,0,19,14,1.330000043,1,0,2,1,2,1
41106,8,9,9,0.850000024,1,0,2,1,3,1
66166,4,13,3,1.210000038,1,0,3,1,1,0
66537,6,10,1,1,1,0,3,1,1,0
73620,15,3,3,0.920000017,1,0,3,1,3,0
51565,0,20,4,0.930000007,1,0,3,1,4,0
60681,0,17,9,0.959999979,1,0,3,1,4,0
68444.51563,7,10,4,1.190000057,1,0,3,1,4,0
60056,0,18,8,0.850000024,1,0,3,1,1,2
47029,7,11,1,0.790000021,1,0,3,1,2,1
48168,2,16,11,0.839999974,1,0,2,1,3,1
52627,0,20,10,0.829999983,1,0,3,1,1,0
60153,3,15,13,1.24000001,1,0,1,1,1,0
46551,1,17,12,0.939999998,1,0,2,1,2,0
56055,0,18,6,0.930000007,1,0,3,1,2,1
46601,0,21,2,0.99000001,1,0,3,1,3,1
54177,0,20,5,0.819999993,1,0,2,1,4,1
57246,0,17,4,0.930000007,1,0,3,1,4,1
62899,9,9,9,1.210000038,1,0,2,1,1,1
48473,0,19,15,0.839999974,1,0,2,1,4,1
66570,0,20,9,0.75999999,1,0,3,1,1,0
58471,0,24,13,0.839999974,1,0,3,1,2,0
52172,6,15,11,0.730000019,1,0,3,1,4,0
53010,2,16,8,0.850000024,1,0,3,1,4,2
51943,19,0,0,0.870000005,1,1,3,1,2,2
45000,20,0,0,1,1,0,2,1,1,0
54003,0,20,5,0.889999986,1,0,3,1,4,0
60006,0,24,2,0.920000017,1,0,3,1,1,0
71543,13,7,7,1.330000043,1,1,3,1,2,3
56436,4,16,5,0.939999998,1,0,3,1,3,0
,0,21,10,0.930000007,1,0,3,1,4,1
64686.62109,5,16,8,1.149999976,1,0,3,1,1,1
64794.59766,0,21,11,0.920000017,1,0,3,1,1,0
58149,3,18,10,0.819999993,1,0,2,1,2,1
67647,0,20,10,1.210000038,1,0,3,1,2,0
56687,0,21,10,0.850000024,1,0,3,1,4,0
59472,5,15,15,0.889999986,1,0,2,1,1,1
54701,19,2,1,0.99000001,1,0,2,1,2,0
43695,17,4,4,0.930000007,0,0,1,1,3,0
44225,13,8,8,1.049999952,1,0,1,1,3,0
54274,0,22,12,1.019999981,1,0,3,1,4,0
55549.5625,0,23,2,0.910000026,1,0,3,1,4,0
57973,4,17,9,0.930000007,1,0,3,1,4,0
80760,13,7,7,0.920000017,1,0,3,1,1,0
49768,0,26,7,0.899999976,1,0,3,1,2,1
70434,7,15,10,1.24000001,1,0,3,1,2,1
56933,7,14,11,0.879999995,1,0,3,1,4,0
53274,0,22,10,0.850000024,1,0,3,1,1,2
59534.85938,0,24,10,0.930000007,1,0,3,1,1,2
64161,20,2,2,0.860000014,1,0,3,1,1,0
65704,1,21,11,0.75999999,1,0,3,1,1,1
58982,1,20,5,1.100000024,1,0,3,1,2,1
62211,0,21,11,1.139999986,1,0,3,1,2,0
71142,1,20,16,1.210000038,1,0,2,1,2,4
47148,3,19,7,0.74000001,1,0,3,1,3,4
60717,1,21,11,0.99000001,1,0,3,1,1,0
63827,0,24,12,1.139999986,1,0,3,1,1,2
64854.3125,0,22,12,1,1,0,3,1,1,0
75353,0,25,12,1.24000001,1,0,3,1,1,0
63409,0,22,17,1.230000019,1,0,2,1,2,2
63231,0,29,15,1.220000029,1,0,3,1,3,0
44454,5,16,10,1.019999981,1,0,2,1,3,2
45837,4,18,3,0.850000024,1,0,3,1,4,0
48543,0,25,17,0.790000021,1,0,2,1,4,1
61316,0,22,13,1,1,0,3,1,4,1
54686,0,28,7,0.910000026,1,0,3,1,1,1
60653.0625,8,14,12,0.850000024,1,0,3,1,1,1
64046,0,25,13,0.779999971,1,0,3,1,1,0
66789.70313,0,24,12,0.860000014,1,0,3,1,1,2
50235,0,21,1,0.790000021,1,0,3,1,2,2
61210,0,24,16,1.169999957,1,0,3,1,2,3
69374,0,26,15,1.139999986,1,0,3,1,1,0
62350,5,19,14,1.090000033,1,0,3,1,1,0
62623,0,26,15,0.790000021,1,0,3,1,1,3
54822,0,25,10,0.920000017,1,0,3,1,2,3
55090,2,21,18,1.019999981,1,0,2,1,2,3
70101.78125,0,23,16,0.889999986,1,0,3,1,2,0
73349,1,22,18,1.210000038,1,0,2,1,3,3
48099,1,21,15,0.850000024,1,0,2,1,3,3
52173,0,22,8,0.779999971,1,0,3,1,4,0
63167,0,26,17,0.959999979,1,0,2,1,1,0
67062,0,25,15,1.139999986,1,0,3,1,1,1
44190,19,4,4,0.779999971,1,0,2,1,2,0
52034,0,24,15,0.850000024,1,0,2,1,2,0
55039,0,25,9,0.850000024,1,0,3,1,2,1
56574,0,26,1,1,1,0,3,1,2,0
58698,0,22,5,0.959999979,1,0,3,1,2,0
64863,0,23,14,0.99000001,1,0,3,1,2,1
30000,22,1,0,0.790000021,1,0,1,1,3,1
52894,0,24,8,0.920000017,1,0,3,1,3,0
44413,3,21,13,0.910000026,1,0,2,1,3,0
55411,0,22,8,0.910000026,1,0,3,1,1,0
68894,16,7,7,0.99000001,1,1,3,1,1,0
53248,0,23,13,0.74000001,1,0,3,1,1,2
53665,0,25,12,0.920000017,1,0,3,1,1,0
65432,0,23,12,0.99000001,1,0,3,1,1,1
71812,2,21,14,1.210000038,1,0,3,1,1,6
73669,0,23,14,1.190000057,1,0,3,1,1,1
45287,0,22,16,0.850000024,1,0,2,1,4,1
52580,2,22,9,0.779999971,1,0,3,1,4,0
56030,0,26,15,1,1,0,3,1,4,1
64713,0,22,12,1.230000019,1,0,3,1,1,3
91405,0,23,14,1.179999948,1,0,3,1,1,0
54850,0,24,9,0.930000007,1,0,3,1,2,0
49252,0,22,17,0.889999986,1,0,2,1,4,1
62091,0,23,14,1.129999995,1,0,3,1,1,0
63800,0,25,14,1,1,0,3,1,1,0
45584,0,25,5,0.959999979,1,0,2,1,3,1
56433,0,24,12,0.99000001,1,0,3,1,3,1
68651,0,23,12,0.910000026,1,0,3,1,4,0
52071,0,24,14,0.850000024,1,0,2,1,2,0
56350,0,25,14,1,1,0,3,1,2,0
58875.55078,20,4,4,0.850000024,1,1,3,1,2,0
67339,0,28,15,1.139999986,1,0,3,1,2,0
75365,0,25,17,1.139999986,1,0,3,1,2,0
54222,4,20,5,1.129999995,1,0,3,1,4,1
54296,7,17,4,1.019999981,1,0,3,1,1,0
61812,6,19,8,1.019999981,1,0,3,1,1,0
62164.72656,21,3,3,0.850000024,1,1,3,1,1,1
57573,0,23,10,1,1,0,3,1,4,1
59403.16016,22,2,2,1.210000038,1,0,3,1,1,0
66483,3,21,15,0.99000001,1,0,3,1,1,0
74265.39844,22,2,2,1.139999986,1,1,3,1,1,0
78660,8,17,15,1.039999962,1,0,3,1,1,0
61123,5,19,13,0.819999993,1,0,3,1,2,0
62173,1,24,4,1.129999995,1,0,3,1,2,0
56419,0,23,18,1,1,0,3,1,3,1
48456,1,24,16,0.850000024,1,0,2,1,4,0
56884,1,23,14,0.810000002,1,0,3,1,4,0
65533,0,24,1,1.039999962,1,0,3,1,1,1
51126,0,27,0,0.910000026,1,0,3,1,4,1
59835,1,24,9,0.800000012,1,0,3,1,4,0
65836.72656,0,25,14,0.769999981,1,0,3,1,1,0
70514,0,25,17,0.889999986,1,1,3,1,2,0
57192,0,27,13,0.850000024,1,0,3,1,4,0
57965.11719,12,13,13,1.129999995,1,1,3,1,4,0
60892,12,14,11,0.949999988,1,0,3,1,4,0
65852,0,26,18,0.99000001,1,0,3,1,1,1
65212,23,3,3,1,1,0,3,1,2,0
71835,0,28,19,1.129999995,1,0,3,1,2,0
55923,0,26,9,0.779999971,1,0,3,1,4,1
51775,0,27,13,0.850000024,1,0,3,1,2,1
80137,5,21,20,1.039999962,1,0,3,1,2,0
55608,1,25,21,0.959999979,1,0,2,1,4,0
58134,0,26,16,0.850000024,1,0,3,1,2,0
61179,2,25,16,1.129999995,1,0,3,1,2,0
41045,21,5,5,0.920000017,1,0,2,1,4,0
45482,0,26,20,0.930000007,1,0,2,1,4,0
53686,0,31,17,0.779999971,1,0,3,1,1,1
68133,4,23,17,0.930000007,1,0,3,1,1,0
60498,4,24,13,0.99000001,1,0,3,1,2,0
39777,10,17,10,0.860000014,1,0,2,1,3,1
48327,25,2,2,0.779999971,1,0,2,1,4,1
82878,0,29,21,0.910000026,1,1,3,1,1,0
56289,5,21,15,0.779999971,1,0,3,1,2,0
61218,0,27,18,1.019999981,1,0,3,1,2,0
67199,0,28,16,0.910000026,1,0,3,1,2,0
45229,0,27,0,0.910000026,1,0,3,1,4,0
55524,13,15,10,1.149999976,1,0,3,1,4,0
59432,0,30,19,1.019999981,1,0,3,1,1,1
62801,0,28,15,0.769999981,1,0,3,1,1,0
66115,2,26,18,0.920000017,1,0,3,1,1,0
66746,1,25,16,1.090000033,1,0,3,1,1,1
64918,0,27,16,0.910000026,1,0,3,1,2,1
63512,0,28,19,1.090000033,1,0,3,1,2,0
74246,0,28,21,0.99000001,1,0,3,1,3,0
52090,0,30,24,1.100000024,1,0,2,1,4,0
60345,4,24,4,1,1,0,3,1,1,0
51954,0,27,18,0.74000001,1,0,3,1,2,0
63337,0,27,20,0.99000001,1,0,3,1,2,0
52738.91406,2,26,6,0.74000001,1,0,3,1,1,1
62587,20,8,8,0.850000024,1,1,3,1,1,0
63997,0,28,15,0.790000021,1,0,3,1,1,0
66032,0,29,16,0.889999986,1,0,3,1,1,1
61255,7,21,15,0.920000017,1,0,3,1,2,1
69976,0,30,14,0.910000026,1,0,3,1,1,0
63357,3,26,17,0.920000017,1,0,3,1,2,0
83192.23438,11,19,19,0.920000017,1,1,3,1,2,0
75614,0,29,22,0.889999986,1,0,3,1,1,0
52579,4,25,11,0.99000001,1,0,3,1,4,0
55826,4,24,12,0.779999971,1,0,3,1,4,0
71573,8,22,20,0.920000017,1,0,3,1,1,1
69827.75,0,30,21,0.790000021,1,0,3,1,1,0
44319,4,26,22,0.779999971,1,0,2,1,3,0
71118,2,28,21,0.920000017,1,0,3,1,2,1
62276,6,23,11,0.769999981,1,0,3,1,1,1
66334,0,35,23,0.779999971,1,0,3,1,1,0
82508,0,32,23,0.930000007,0,1,3,1,2,0
51698,8,23,1,0.790000021,0,1,3,1,4,0
68906,2,29,20,1,0,0,3,1,1,0
64073,3,28,14,0.910000026,1,0,3,1,2,3
69709,3,28,21,1,1,0,3,1,1,2
80103,2,29,22,0.930000007,1,0,3,1,2,0
90082,10,22,22,1,1,0,3,1,2,2
63073,2,30,16,0.779999971,1,0,3,1,3,1
79002,1,30,24,0.99000001,1,0,3,1,1,1
70563,7,26,21,0.850000024,1,0,3,1,2,2
89789,11,22,21,0.930000007,1,0,3,1,2,2
72152,0,33,22,1,1,0,3,1,2,2
96156,20,12,12,1.190000057,1,0,3,1,1,2
62523,5,28,22,0.930000007,1,0,3,1,1,3
53003,5,29,24,0.769999981,0,0,2,1,3,0
72533,15,21,21,1.039999962,1,0,3,1,2,1
68140,13,22,22,0.850000024,0,0,3,1,4,1
64109,0,41,28,0.910000026,1,0,3,1,2,0
73155,12,25,25,0.920000017,1,0,3,1,1,0
54423,13,24,18,1.090000033,1,0,3,1,1,0
63144,14,27,20,0.730000019,1,0,3,1,3,118
33800,0,0,0,0.839999974,1,0,1,0,3,4
36833,0,1,1,0.839999974,1,0,1,0,4,4
36308,0,1,0,0.870000005,1,0,1,0,1,3
33680,0,2,1,0.920000017,1,0,1,0,3,2
33680,0,2,2,1.019999981,1,0,1,0,3,0
34731,0,1,1,0.850000024,1,0,1,0,3,2
31000,0,3,2,0.790000021,1,0,1,0,3,1
35782,0,2,1,0.920000017,1,0,1,0,4,1
46292,0,2,2,1.139999986,1,0,1,0,2,2
33680,0,1,1,0.879999995,1,0,1,0,3,2
34731,0,2,1,0.949999988,1,0,1,0,3,2
33787,0,4,2,0.850000024,1,0,1,0,4,2
56000,1,0,0,1.190000057,1,0,1,0,1,3
30000,0,0,0,0.810000002,1,0,1,0,3,3
30662,0,4,3,0.75999999,1,0,1,0,3,3
31000,0,0,0,0.920000017,1,0,1,0,3,3
32000,2,0,0,0.850000024,1,0,1,0,3,3
55752,0,2,2,1.190000057,1,0,1,0,4,3
36000,1,0,0,0.930000007,1,0,1,0,2,4
37359,0,1,1,0.839999974,1,0,1,0,2,4
33680,0,3,3,0.920000017,1,0,1,0,3,4
35000,1,0,0,0.910000026,1,0,1,0,3,4
36833,0,3,3,0.839999974,1,0,1,0,4,1
31000,0,0,0,0.949999988,1,0,1,0,3,1
31577,0,3,2,0.860000014,1,0,1,0,3,4
34206,1,2,2,0.730000019,1,0,1,0,4,5
35574,0,4,4,0.850000024,1,0,1,0,2,6
59000,0,0,0,1.24000001,1,0,1,0,2,6
47344,0,3,3,1.210000038,1,0,1,0,3,6
35000,0,3,0,0.790000021,1,0,1,0,3,7
40000,0,3,3,0.839999974,1,0,1,0,3,7
40356,0,4,0,0.779999971,1,0,2,0,3,3
34206,1,4,4,0.879999995,1,0,1,0,2,1
34603,0,6,4,0.790000021,1,0,1,0,2,1
32944,0,6,5,0.850000024,1,0,1,0,3,3
40356,0,5,4,0.790000021,1,0,1,0,3,1
34206,1,4,4,0.800000012,1,0,1,0,4,1
36583,0,4,4,0.810000002,1,0,1,0,4,1
34206,3,3,3,0.860000014,1,0,1,0,4,1
60000,5,0,0,1.190000057,1,0,2,0,1,0
39461,3,2,2,0.850000024,1,0,1,0,3,0
43500,6,0,0,1.210000038,0,0,1,0,3,2
34206,1,5,5,0.939999998,1,0,1,0,4,2
34206,2,4,4,0.930000007,1,0,1,0,4,2
39871,0,6,0,0.99000001,1,0,2,0,4,2
56182,0,7,1,1.210000038,1,0,2,0,2,3
38069,0,7,6,0.829999983,1,0,1,0,3,4
39461,0,7,1,0.99000001,0,1,2,0,3,1
36487,1,5,1,0.819999993,0,1,2,0,4,0
55210,1,5,5,1.230000019,0,1,1,0,2,1
32000,7,0,0,0.779999971,1,0,1,0,3,0
35257,4,3,3,0.910000026,1,0,1,0,4,0
36869,0,7,1,0.850000024,1,0,2,0,1,4
33703,1,6,1,0.769999981,1,0,2,0,3,0
41915,0,10,4,0.819999993,1,0,2,0,4,1
30001,5,3,3,0.769999981,1,0,1,0,3,1
37733,0,8,0,0.920000017,1,0,2,0,3,0
41563,1,8,1,0.850000024,1,0,2,0,3,2
37359,6,3,3,0.850000024,1,0,1,0,2,2
39660,0,9,4,0.74000001,0,0,2,0,3,24
36515,2,7,1,0.810000002,0,0,2,0,4,24
38818,2,8,2,0.99000001,0,0,2,0,4,24
45763,3,7,2,0.850000024,1,0,2,0,3,25
42129,5,4,2,0.99000001,1,0,2,0,4,25
63500,10,0,0,1.24000001,1,0,2,0,4,25
36833,8,2,2,0.889999986,1,0,1,0,4,26
42034,1,8,4,0.790000021,1,0,2,0,4,26
38410,10,1,1,0.920000017,1,0,2,0,2,27
58946,0,12,3,0.839999974,1,0,2,0,2,27
46810.86719,3,7,4,0.810000002,1,0,2,0,3,28
38572,0,12,9,0.800000012,1,0,2,0,2,29
42603,1,9,2,1.019999981,1,0,2,0,2,29
33010,3,8,8,0.790000021,1,0,1,0,3,29
41015,0,10,10,0.790000021,1,0,1,0,4,29
57612,0,12,5,1.230000019,1,0,2,0,4,29
37615,4,7,7,0.920000017,1,0,1,0,3,30
40636,0,12,11,0.879999995,1,0,1,0,4,30
39611,6,6,0,0.810000002,1,0,2,0,3,31
37037,0,13,4,0.910000026,1,0,2,0,4,31
49499,2,10,4,1.019999981,1,0,2,0,2,32
48531,0,13,0,0.810000002,1,0,3,0,3,32
37067,6,6,2,0.930000007,1,0,2,0,4,32
32000,13,0,0,0.709999979,1,0,1,0,3,34
48065,0,13,13,1.210000038,1,0,1,0,1,37
48666,0,22,1,0.779999971,1,0,3,0,4,39
45838,0,15,10,0.899999976,1,0,2,0,2,40
38361.74609,0,14,2,0.720000029,1,0,2,0,3,40
46416,1,15,15,0.860000014,1,0,1,0,1,42
41259,6,8,2,1.149999976,1,0,2,0,3,42
62059,15,1,1,0.910000026,1,0,3,0,1,42
43958,4,12,6,0.810000002,1,0,2,0,2,43
39574,1,15,9,0.800000012,1,0,2,0,3,43
47821,1,15,3,0.959999979,1,0,2,0,3,43
47661,4,12,3,0.850000024,1,0,3,0,1,44
44045,10,6,6,1,1,0,2,0,2,44
69654.33594,0,17,12,1.210000038,1,0,2,0,1,44
47396,5,11,7,0.860000014,1,0,2,0,2,46
50683,0,17,11,0.879999995,1,0,2,0,2,46
42813,6,10,7,0.850000024,1,0,2,0,2,47
50008,0,18,10,0.800000012,1,0,2,0,1,47
52773,0,28,14,0.879999995,1,0,2,0,1,48
34997,0,18,12,0.800000012,1,0,2,0,3,49
43921,0,17,11,0.850000024,1,0,2,0,3,49
38935,15,3,3,0.910000026,1,0,1,0,4,49
51640,4,13,5,0.99000001,1,0,3,0,4,49
60678,5,13,0,1.210000038,1,0,3,0,1,50
63660.85156,17,1,1,0.920000017,1,1,3,0,2,50
44410.85547,7,12,10,0.720000029,1,0,2,0,3,51
50729,0,20,7,0.850000024,1,0,3,0,2,52
58530,0,19,9,0.930000007,1,0,3,0,2,52
41063,1,18,18,0.810000002,1,0,1,0,4,52
48681,0,19,12,1.049999952,1,0,2,0,4,52
52446,5,14,6,0.810000002,1,0,3,0,4,52
45669,2,18,5,0.730000019,1,0,2,0,3,56
45047,0,20,20,0.829999983,1,0,1,0,1,56
50280,0,22,15,0.850000024,1,0,2,0,2,58
48765,10,11,4,0.939999998,1,0,3,0,4,58
36308,16,5,5,0.860000014,1,0,1,0,1,60
64770,0,25,15,1.019999981,1,0,3,0,1,62
52009,0,23,1,0.850000024,1,0,3,0,2,63
46843,0,23,13,0.810000002,1,0,2,0,3,65
58766.75781,0,23,12,0.99000001,1,1,3,0,2,67
52395,5,19,7,0.860000014,1,0,3,0,4,69
45906,6,17,11,0.920000017,1,0,2,0,2,70
60402,6,19,7,0.860000014,1,0,3,0,1,72
53187,19,7,6,0.779999971,1,0,3,0,4,76
56542,8,20,10,0.779999971,1,0,3,0,2,78
52662,13,25,11,0.779999971,1,0,3,0,1,112
